video,duration
00001,273000
00002,264000
00003,390000
00004,247000
00005,345000
00006,283000
00007,251000
00008,602000
00009,229000
00010,207000
00011,546000
00012,369000
00013,713000
00014,308000
00015,230000
00016,771000
00017,907000
00018,275000
00019,200000
00020,230000
00021,884000
00022,387000
00023,235000
00024,1578000
00025,552000
00026,291000
00027,353000
00028,259000
00029,369000
00030,200000
00031,321000
00032,284000
00033,308000
00034,304000
00035,311000
00036,2102000
00037,378000
00038,333000
00039,657000
00040,213000
00041,353000
00042,627000
00043,190000
00044,240000
00045,827000
00046,196000
00047,254000
00048,410000
00049,704000
00050,2076000
00051,268000
00052,235000
00053,187000
00054,197000
00055,252000
00056,667000
00057,1200000
00058,245000
00059,227000
00060,255000
00061,450000
00062,817000
00063,511000
00064,185000
00065,262000
00066,262000
00067,259000
00068,281000
00069,273000
00070,529000
00071,236000
00072,180000
00073,557000
00074,473000
00075,3461000
00076,216000
00077,239000
00078,405000
00079,210000
00080,222000
00081,1022000
00082,314000
00083,241000
00084,223000
00085,615000
00086,418000
00087,277000
00088,418000
00089,257000
00090,194000
00091,270000
00092,302000
00093,316000
00094,322000
00095,1694000
00096,480000
00097,3155000
00098,193000
00099,564000
00100,270000
00101,239000
00102,212000
00103,320000
00104,503000
00105,2827000
00106,278000
00107,351000
00108,482000
00109,1473000
00110,225000
00111,265000
00112,320000
00113,1359000
00114,241000
00115,1090000
00116,682000
00117,226000
00118,803000
00119,2072000
00120,687000
00121,537000
00122,897000
00123,592000
00124,190000
00125,235000
00126,461000
00127,269000
00128,1072000
00129,336000
00130,309000
00131,234000
00132,194000
00133,370000
00134,283000
00135,260000
00136,1208000
00137,200000
00138,294000
00139,212000
00140,272000
00141,200000
00142,253000
00143,356000
00144,199000
00145,257000
00146,197000
00147,187000
00148,564000
00149,242000
00150,640000
00151,461000
00152,220000
00153,382000
00154,198000
00155,281000
00156,290000
00157,463000
00158,839000
00159,619000
00160,269000
00161,253000
00162,192000
00163,851000
00164,263000
00165,325000
00166,515000
00167,1562000
00168,514000
00169,1106000
00170,215000
00171,208000
00172,328000
00173,259000
00174,330000
00175,223000
00176,243000
00177,537000
00178,407000
00179,211000
00180,211000
00181,741000
00182,212000
00183,341000
00184,328000
00185,633000
00186,202000
00187,221000
00188,224000
00189,188000
00190,751000
00191,2847000
00192,331000
00193,437000
00194,193000
00195,325000
00196,194000
00197,561000
00198,468000
00199,992000
00200,235000
00201,467000
00202,180000
00203,197000
00204,261000
00205,255000
00206,411000
00207,388000
00208,219000
00209,725000
00210,216000
00211,262000
00212,246000
00213,693000
00214,264000
00215,676000
00216,311000
00217,988000
00218,1628000
00219,256000
00220,492000
00221,219000
00222,992000
00223,280000
00224,328000
00225,253000
00226,187000
00227,216000
00228,200000
00229,206000
00230,408000
00231,270000
00232,363000
00233,307000
00234,317000
00235,329000
00236,822000
00237,334000
00238,1196000
00239,323000
00240,276000
00241,1789000
00242,194000
00243,219000
00244,457000
00245,699000
00246,358000
00247,292000
00248,213000
00249,227000
00250,324000
00251,406000
00252,310000
00253,1036000
00254,601000
00255,595000
00256,246000
00257,305000
00258,512000
00259,376000
00260,1015000
00261,293000
00262,191000
00263,686000
00264,196000
00265,1830000
00266,719000
00267,209000
00268,368000
00269,197000
00270,279000
00271,197000
00272,951000
00273,329000
00274,254000
00275,565000
00276,585000
00277,322000
00278,1920000
00279,186000
00280,459000
00281,190000
00282,191000
00283,994000
00284,227000
00285,249000
00286,604000
00287,186000
00288,246000
00289,427000
00290,248000
00291,180000
00292,257000
00293,339000
00294,246000
00295,284000
00296,330000
00297,217000
00298,509000
00299,273000
00300,771000
00301,264000
00302,406000
00303,202000
00304,1011000
00305,193000
00306,2052000
00307,1190000
00308,304000
00309,556000
00310,206000
00311,180000
00312,641000
00313,391000
00314,888000
00315,347000
00316,335000
00317,1985000
00318,528000
00319,344000
00320,256000
00321,295000
00322,313000
00323,368000
00324,274000
00325,182000
00326,286000
00327,189000
00328,478000
00329,244000
00330,234000
00331,942000
00332,802000
00333,345000
00334,266000
00335,1108000
00336,309000
00337,2701000
00338,2515000
00339,427000
00340,224000
00341,251000
00342,233000
00343,205000
00344,293000
00345,220000
00346,756000
00347,238000
00348,560000
00349,297000
00350,780000
00351,588000
00352,258000
00353,276000
00354,1109000
00355,488000
00356,254000
00357,431000
00358,756000
00359,186000
00360,190000
00361,229000
00362,292000
00363,280000
00364,791000
00365,413000
00366,236000
00367,1165000
00368,181000
00369,1694000
00370,428000
00371,371000
00372,414000
00373,246000
00374,233000
00375,306000
00376,304000
00377,257000
00378,818000
00379,235000
00380,2702000
00381,198000
00382,379000
00383,204000
00384,357000
00385,414000
00386,850000
00387,253000
00388,533000
00389,509000
00390,1021000
00391,2740000
00392,199000
00393,1736000
00394,1406000
00395,206000
00396,412000
00397,242000
00398,606000
00399,234000
00400,267000
00401,821000
00402,206000
00403,206000
00404,233000
00405,229000
00406,207000
00407,311000
00408,266000
00409,212000
00410,544000
00411,351000
00412,3419000
00413,1614000
00414,337000
00415,1807000
00416,445000
00417,193000
00418,1406000
00419,269000
00420,300000
00421,494000
00422,734000
00423,399000
00424,360000
00425,1036000
00426,258000
00427,323000
00428,243000
00429,204000
00430,348000
00431,389000
00432,200000
00433,266000
00434,210000
00435,553000
00436,366000
00437,232000
00438,517000
00439,297000
00440,993000
00441,323000
00442,386000
00443,233000
00444,296000
00445,591000
00446,240000
00447,207000
00448,939000
00449,513000
00450,238000
00451,587000
00452,513000
00453,250000
00454,189000
00455,228000
00456,316000
00457,216000
00458,387000
00459,255000
00460,198000
00461,249000
00462,457000
00463,203000
00464,385000
00465,3272000
00466,280000
00467,945000
00468,228000
00469,234000
00470,193000
00471,328000
00472,393000
00473,201000
00474,431000
00475,691000
00476,207000
00477,324000
00478,600000
00479,480000
00480,1019000
00481,225000
00482,202000
00483,397000
00484,183000
00485,204000
00486,196000
00487,238000
00488,388000
00489,261000
00490,264000
00491,187000
00492,188000
00493,325000
00494,183000
00495,263000
00496,288000
00497,291000
00498,393000
00499,181000
00500,244000
00501,247000
00502,292000
00503,251000
00504,266000
00505,371000
00506,187000
00507,375000
00508,181000
00509,230000
00510,246000
00511,289000
00512,333000
00513,357000
00514,180000
00515,795000
00516,1342000
00517,620000
00518,229000
00519,201000
00520,336000
00521,1788000
00522,200000
00523,199000
00524,511000
00525,472000
00526,305000
00527,449000
00528,989000
00529,466000
00530,263000
00531,524000
00532,344000
00533,393000
00534,233000
00535,1476000
00536,435000
00537,431000
00538,203000
00539,345000
00540,374000
00541,229000
00542,506000
00543,275000
